$C0,0,00000,0000000000000000000,0000000.00,00000000000000000000,0000000002,18.12.13,1234512345@
000,+,Pigmy,1                  ,0000000.00,                    ,0000020.00,04.02.13,0000000.00@
000,+,Pigmy,2                  ,0000000.00,                    ,0000100.00,04.02.13,0000000.00@
000,+,Pigmy,3                  ,0000000.00,                    ,0000080.00,04.02.13,0000000.00@
000,+,Pigmy,4                  ,0000000.00,                    ,0000005.00,04.02.13,0000000.00@
000,+,Pigmy,5                  ,0000000.00,                    ,0000070.00,04.02.13,0000000.00@
000,+,Pigmy,6                  ,0000000.00,                    ,0000050.00,04.03.13,0000000.00@

